CompoundName,ExperimentType,Compound Type,ChemicalFormula,Category,CAS,Ionization,ResponseThreshold,Internal Standard,Internal Standard Concentration,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp
L-Hydroxyproline,XIC,eTargetCompound,C5H9NO3,,,ESI,5000,,0,,132.0653229,,+,1,2.675261508,60,25,,
L-Hydroxyproline,XIC,eTargetCompound,C5H9NO3,,,ESI,5000,,0,,132.0653381,,+,1,2.645427137,60,30,,
L-Hydroxyproline,XIC,eTargetCompound,C5H9NO3,,,ESI,5000,,0,,132.0653381,,+,1,2.636708633,60,20,,
L-Hydroxyproline,XIC,eTargetCompound,C5H9NO3,,,ESI,5000,,0,,132.0653381,,+,1,2.641114892,60,30,,
L-Hydroxyproline,XIC,eTargetCompound,C5H9NO3,,,ESI,5000,,0,,132.0653381,,+,1,2.643561226,60,60,,
(-)-L-Carnitine,XIC,eTargetCompound,C7H15NO3,,,ESI,5000,,0,,162.1119995,,+,1,3.220560819,60,30,,
(-)-L-Carnitine,XIC,eTargetCompound,C7H15NO3,,,ESI,5000,,0,,162.1119995,,+,1,3.212035495,60,20,,
(-)-L-Carnitine,XIC,eTargetCompound,C7H15NO3,,,ESI,5000,,0,,162.1119995,,+,1,3.216440831,60,60,,
L-Citrulline,XIC,eTargetCompound,C6H13N3O3,,,ESI,5000,,0,,176.1027832,,+,1,3.111109992,60,10,,
L-Citrulline,XIC,eTargetCompound,C6H13N3O3,,,ESI,5000,,0,,176.1027679,,+,1,3.53591978,60,25,,
